
> mission-control@0.1.0 dev
> next dev -H 0.0.0.0

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://0.0.0.0:3000

✓ Starting...
✓ Ready in 2.1s
 GET / 200 in 2.3s (compile: 2.1s, render: 256ms)
 GET /api/outreach 200 in 135ms (compile: 113ms, render: 22ms)
 GET /api/approval-queue?status=pending-approval 200 in 194ms (compile: 187ms, render: 8ms)
 GET /api/revenue 200 in 293ms (compile: 249ms, render: 44ms)
 GET /api/agents 200 in 433ms (compile: 337ms, render: 96ms)
 GET /api/leads 200 in 521ms (compile: 491ms, render: 30ms)
 GET /api/approval-queue?status=pending-approval 200 in 8ms (compile: 4ms, render: 4ms)
 GET /api/approval-queue?status=pending-approval 200 in 9ms (compile: 3ms, render: 6ms)
 GET /api/approval-queue?status=pending-approval 200 in 7ms (compile: 3ms, render: 4ms)
 GET /api/approval-queue?status=pending-approval 200 in 7ms (compile: 3ms, render: 4ms)
 GET /pipeline 200 in 94ms (compile: 59ms, render: 35ms)
 GET /api/leads 200 in 25ms (compile: 3ms, render: 22ms)
 GET /api/leads 200 in 19ms (compile: 1875µs, render: 17ms)
 GET / 200 in 17ms (compile: 3ms, render: 14ms)
 GET /api/leads 200 in 19ms (compile: 5ms, render: 14ms)
 GET /api/agents 200 in 32ms (compile: 20ms, render: 13ms)
 GET /api/revenue 200 in 45ms (compile: 33ms, render: 13ms)
 GET /api/outreach 200 in 51ms (compile: 47ms, render: 5ms)
 GET /api/approval-queue?status=pending-approval 200 in 56ms (compile: 53ms, render: 4ms)
 GET /api/leads 200 in 22ms (compile: 6ms, render: 16ms)
 GET /api/agents 200 in 39ms (compile: 23ms, render: 16ms)
 GET /api/revenue 200 in 63ms (compile: 40ms, render: 23ms)
 GET /api/outreach 200 in 68ms (compile: 64ms, render: 4ms)
 GET /api/approval-queue?status=pending-approval 200 in 72ms (compile: 70ms, render: 3ms)
 GET /api/approval-queue?status=pending-approval 200 in 8ms (compile: 3ms, render: 5ms)
 GET /api/approval-queue?status=pending-approval 200 in 5ms (compile: 1819µs, render: 4ms)
 GET /api/approval-queue?status=pending-approval 200 in 5ms (compile: 1721µs, render: 3ms)
 GET /api/approval-queue?status=pending-approval 200 in 5ms (compile: 1781µs, render: 3ms)
 GET /api/approval-queue?status=pending-approval 200 in 9ms (compile: 3ms, render: 5ms)
 GET /api/approval-queue?status=pending-approval 200 in 6ms (compile: 3ms, render: 4ms)
 GET /api/approval-queue?status=pending-approval 200 in 8ms (compile: 3ms, render: 4ms)
 GET /api/approval-queue?status=pending-approval 200 in 8ms (compile: 4ms, render: 4ms)
 GET /api/approval-queue?status=pending-approval 200 in 7ms (compile: 2ms, render: 5ms)
 GET /api/approval-queue?status=pending-approval 200 in 6ms (compile: 3ms, render: 3ms)
 GET /api/approval-queue?status=pending-approval 200 in 9ms (compile: 3ms, render: 6ms)
 GET /api/approval-queue?status=pending-approval 200 in 7ms (compile: 2ms, render: 5ms)
 GET /api/approval-queue?status=pending-approval 200 in 6ms (compile: 3ms, render: 3ms)
 GET /api/approval-queue?status=pending-approval 200 in 5ms (compile: 1792µs, render: 3ms)
 GET /api/approval-queue?status=pending-approval 200 in 7ms (compile: 3ms, render: 4ms)
 GET /api/approval-queue?status=pending-approval 200 in 6ms (compile: 3ms, render: 4ms)
 GET /api/approval-queue?status=pending-approval 200 in 9ms (compile: 3ms, render: 6ms)
 GET /api/approval-queue?status=pending-approval 200 in 5ms (compile: 1378µs, render: 3ms)
 GET /api/approval-queue?status=pending-approval 200 in 9ms (compile: 2ms, render: 7ms)
 GET /api/approval-queue?status=pending-approval 200 in 5ms (compile: 1918µs, render: 3ms)
 GET /api/approval-queue?status=pending-approval 200 in 6ms (compile: 3ms, render: 3ms)
 GET /api/approval-queue?status=pending-approval 200 in 8ms (compile: 3ms, render: 6ms)
 GET /api/approval-queue?status=pending-approval 200 in 16ms (compile: 7ms, render: 9ms)
 GET /api/approval-queue?status=pending-approval 200 in 7ms (compile: 3ms, render: 4ms)
 GET /api/approval-queue?status=pending-approval 200 in 8ms (compile: 3ms, render: 5ms)
 GET /api/approval-queue?status=pending-approval 200 in 8ms (compile: 3ms, render: 5ms)
 GET /api/approval-queue?status=pending-approval 200 in 20ms (compile: 6ms, render: 14ms)
